1 1
10 10
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
A A
ACCOUNT ACCT
ACCOUNTING ATNG
ACCPETED ACP
ACCRUAL ACRL
ACCRUED ACRL
ACCT ACCT
ACKNOWLEDGEMENT ACK
ACTIVITY AVTY
ADDITIONAL ADNL
ADDRESS ADR
ADJUST ADJ
ADJUSTING ADJ
ADVANCE ADV
AFTER AFTER
AGENCY AGENCY
AGREED AGREED
AHEAD AHEAD
ALLOWED ALWD
AMORTISED AMSD
AMOUNT AMT
AMT AMT
AND 
APPLICABLE APBL
APPLY APPLY
AS AS
ASSET ASSET
ASSOCIATION ASOC
ASSUMPTION APTN
AT AT
AUTHORITY AUTH
AUTO AUTO
BANK BANK
BANKRUPTCY BTCY
BASE BASE
BASED BASED
BASIS BASIS
BB BB
BEFORE BEFORE
BEGIN BEGIN
BENEFIT BFIT
BIC BIC
BILL BILL
BOOKED BOOKED
BORROWER BRWR
BRANCH BCH
BROKEN BKN
BY BY
C C
CALCULATE CCTE
CALCULATION CCTE
CALENDAR CNDR
CANCELLATION CCL
CAP CAP
CAPITALIZE CTLZ
CAPITALIZED CTLZ
CARRY CARRY
CASE CASE
CATEGORY CATEGORY
CERTIFICATION CERT
CHANGE CHANGE
CHANNEL CHANNEL
CHARGE CRG
CHEQUE CHQ
CHEQUES CHQ
CHRG CRG
CIF CIF
CLAIMED CLAIMED
CLASSIFICATION CLSF
CLOSURE CLOSURE
CODE CODE
COLLECT CCT
COLLECTED CCT
COLLECTION CCT
COMBINATION COMB
COMBINED COMB
COMPOUND COMPOUND
CONSOLIDATED CONSOLIDATED
CONVERSION CONVERSION
COST COST
COUNTER CNTR
COURSE CRSE
COVERAGE COV
CREDIT CR
CUMULATIVE CTVE
CURRENCY CCY
CURRENT CRNT
CUSTOMER CST
CYCLE CYCLE
DAILY DAILY
DATE DT
DAY DAY
DAYS DAYS
DDD DDD
DEALER DLR
DEBIT DR
DEF DEF
DEFERMENT DFER
DEFERMENTS DFER
DEFERRED DFER
DELINQUENCY DQCY
DEMAN DMD
DEMAND DMD
DEMANDS DMD
DEPOSIT DSIT
DESPATCH DPCH
DICGE DICGE
DIFFERENT DIFF
DIFFERENTIAL DFTL
DISABILITY DBTY
DISBURSE DBSE
DISBURSEMENT DBSE
DISCOUNTED DISC
DR DR
DUE DUE
DURING DRNG
EFFECTIVE EFF
EI EI
ELIGIBLE EGBL
EMAIL EMAIL
EMI EMI
END END
ENROLLED ERLD
ENROLLMENT ERLD
EVERY EVERY
EXCLUDE EXCLUDE
